"","mtry","RMSE","RMSESD","Rsquared","RsquaredSD","NUTS1","CM"
"40",227,0.0068945338706771,0.00278757069665363,0.54743166524386,0.230350142829685,"CE","CM1"
"41",2,0.00418570453095233,0.00267414045213214,0.867557893507026,0.113234558731693,"E","CM1"
"42",27,0.0039989044435923,0.0023175675808845,0.87562404112692,0.0939093703479814,"E","CM1"
"43",52,0.00409546574111794,0.00235317764373647,0.869738710413242,0.0955374596340816,"E","CM1"
"44",77,0.00413299505041894,0.00235281024855505,0.868367807234805,0.0929334131832413,"E","CM1"
"45",102,0.00415461644990998,0.00239090885657016,0.867005418891641,0.0930606954545292,"E","CM1"
"46",127,0.00419440034555279,0.00235527268775522,0.861297835084536,0.098597406950337,"E","CM1"
"47",152,0.00422861958960368,0.00236906975548719,0.860954326984529,0.0970937854845119,"E","CM1"
"48",177,0.00427387699410264,0.00239002209225208,0.85579033085446,0.103710138775491,"E","CM1"
"49",202,0.00429102300380429,0.00238588781256811,0.853841836117603,0.102171019409867,"E","CM1"
"50",227,0.00431851560189228,0.00239574012813208,0.85139264551082,0.105957328802931,"E","CM1"
"51",2,0.0022586718141405,0.00085981431137447,0.898969156197289,0.0828336464267448,"S","CM1"
"52",27,0.00217349809103848,0.000855112589230011,0.899785031373374,0.0799965960149747,"S","CM1"
"53",52,0.00221514787217135,0.000843307069281928,0.894953242772579,0.0821566445335555,"S","CM1"
"54",77,0.00222382020450191,0.000854634468492961,0.893999495246264,0.0834256244215027,"S","CM1"
"55",102,0.00223997289900096,0.000850444725408292,0.892040183600893,0.0835489692142078,"S","CM1"
"56",127,0.00227239863190663,0.0008611837839501,0.888397630444536,0.0859240499926113,"S","CM1"
"57",152,0.00229103746641133,0.000871320587346314,0.887235176963499,0.0859885935577553,"S","CM1"
"58",177,0.00230942660429786,0.000883434860741205,0.885139550721748,0.0876406698913606,"S","CM1"
"59",202,0.00231714354374922,0.000889863477038327,0.884352834419662,0.0882298968924276,"S","CM1"
"60",227,0.00234789974157016,0.000909554183550895,0.881163313116654,0.0909605875328672,"S","CM1"
"61",2,0.00155500096555969,0.000404150524221598,0.925716511606266,0.0456692172297191,"NW","CM2"
"62",27,0.00109349073532798,0.000345925783441345,0.943688949990514,0.0438448265435752,"NW","CM2"
"63",52,0.0010861694138745,0.000346291909881439,0.943507031001365,0.0436028693985607,"NW","CM2"
"64",77,0.00109557094612925,0.00034888126040119,0.941977782201272,0.0441505044540399,"NW","CM2"
"65",102,0.00108965849777623,0.000345882339306557,0.942816926333977,0.0434267581064127,"NW","CM2"
"66",127,0.00110585064674693,0.000360705349084525,0.940600782592974,0.0450956011740928,"NW","CM2"
"67",152,0.00110710325602912,0.000349861904395929,0.9406674804813,0.043552631364573,"NW","CM2"
"68",177,0.00111516453615149,0.000365853615615158,0.939794228697251,0.0451335651583836,"NW","CM2"
"69",202,0.00111306057834186,0.00036598551047055,0.939995634019761,0.0426769574756689,"NW","CM2"
"70",227,0.00112143985112639,0.000371877009002256,0.938815219173353,0.0448289739318137,"NW","CM2"
"71",2,0.00190131190661226,0.000811248768993263,0.934726966795141,0.03845204424164,"NE","CM2"
"72",27,0.00150825760126543,0.0006485123070624,0.9355903810898,0.040995940369503,"NE","CM2"
"73",52,0.00152765079062872,0.000655865818598186,0.933162354350066,0.0409776562782711,"NE","CM2"
"74",77,0.00155787080811726,0.000699966543437842,0.929827275171943,0.0410075148608277,"NE","CM2"
"75",102,0.0015848412515912,0.000737413859450858,0.926471096211558,0.0441388718557373,"NE","CM2"
"76",127,0.00161144272993335,0.000774094841435437,0.922258549771619,0.0469495165241609,"NE","CM2"
"77",152,0.00163396421079756,0.000788831364969027,0.918846888203282,0.0496127769745529,"NE","CM2"
"78",177,0.00166645201738934,0.0008526879803343,0.913959736435344,0.0565922394071936,"NE","CM2"
"79",202,0.0016759697275744,0.000868884758418888,0.911073347996255,0.0603116067460583,"NE","CM2"
"80",227,0.00169055145522751,0.000905614042382131,0.906756567331156,0.0679536981108918,"NE","CM2"
"81",2,0.00151370420905896,0.000451989639427228,0.93454560881577,0.032177967315898,"MA","CM2"
"82",27,0.00111255185798027,0.00034749679219029,0.950801070130671,0.0284011337557728,"MA","CM2"
"83",52,0.00107699219449795,0.000318883991220471,0.950863272867265,0.0271823947314448,"MA","CM2"
"84",77,0.00105505186810697,0.000303669422531793,0.950539863652422,0.0282015298956007,"MA","CM2"
"85",102,0.0010465705309779,0.000300119930108991,0.949634467443275,0.0295481085031597,"MA","CM2"
"86",127,0.00105500289596388,0.00031180808262864,0.947332545427385,0.0323200148042111,"MA","CM2"
"87",152,0.001056686786011,0.000319432457056509,0.946205306539917,0.0340716505659797,"MA","CM2"
"88",177,0.00105987980886183,0.00031980596013748,0.944912877146975,0.0367234600080404,"MA","CM2"
"89",202,0.00107780645705644,0.000329143696159154,0.941964440863392,0.0394833177045443,"MA","CM2"
"90",227,0.00107972063578379,0.000334689162738394,0.941024610200894,0.0437888621134863,"MA","CM2"
"91",2,0.00249042218614097,0.00107972324324409,0.881056536587388,0.061884628499838,"CE","CM2"
"92",27,0.00183151159488448,0.000748326737450963,0.919312154338811,0.0488044175501425,"CE","CM2"
"93",52,0.0017068037342156,0.00067628686929522,0.923974308689062,0.0510264203593055,"CE","CM2"
"94",77,0.00167365037273897,0.000649734489038171,0.922657219184517,0.0538139284046181,"CE","CM2"
"95",102,0.00164295899544165,0.000643069905747454,0.920952013680522,0.0588093808102252,"CE","CM2"
"96",127,0.00165890060156724,0.000664736488405375,0.915873408618242,0.0667139855494582,"CE","CM2"
"97",152,0.00166634791713794,0.000646802820762573,0.913179920033383,0.0706724453423318,"CE","CM2"
"98",177,0.00168923997571209,0.000676057036283953,0.908551765041462,0.0796346764806089,"CE","CM2"
"99",202,0.00170299589742021,0.000680547333703702,0.902955356366074,0.0865468070137321,"CE","CM2"
"100",227,0.00171397977355879,0.000682293643259699,0.899422038162523,0.092590157762128,"CE","CM2"
"101",2,0.00149853711949946,0.000490534104697634,0.940134749006855,0.0370455170711906,"E","CM2"
"102",27,0.00109144737678481,0.000332051960879478,0.949801018577678,0.0314581156821852,"E","CM2"
"103",52,0.00109103457923859,0.000315709186028572,0.947798280311521,0.0306209016352426,"E","CM2"
"104",77,0.00110028524102643,0.00032059568522298,0.9461852428601,0.0319669829008778,"E","CM2"
"105",102,0.00110539804439047,0.000313904566265823,0.945658326030192,0.0306468727205826,"E","CM2"
"106",127,0.00111996203811856,0.000317049821546827,0.944062404567205,0.0318180131663685,"E","CM2"
"107",152,0.00113954822850621,0.000317834539897842,0.941881128599755,0.0330023887212232,"E","CM2"
"108",177,0.00114807789353792,0.000315978546415017,0.941119934322677,0.0334470458560462,"E","CM2"
"109",202,0.00116411917470757,0.000329605794382376,0.939169833389521,0.0349206912606963,"E","CM2"
"110",227,0.00117740037455331,0.000332537508205514,0.937485880777405,0.0360627324030893,"E","CM2"
"111",2,0.000999302176420132,0.000267662043274622,0.964423812564096,0.023947205228996,"S","CM2"
"112",27,0.00084016224157608,0.000338939569913308,0.968038906127827,0.0269267769082174,"S","CM2"
"113",52,0.000848787898509437,0.000346929492584292,0.966553115495621,0.0284646826117866,"S","CM2"
"114",77,0.000864116974638079,0.00035478887765265,0.964952765198571,0.0300181452284955,"S","CM2"
"115",102,0.000883629861393348,0.000374142146820991,0.962674698395861,0.032963510901885,"S","CM2"
"116",127,0.000899155570923099,0.000386739735903716,0.961041205285195,0.0347858124107736,"S","CM2"
"117",152,0.000913824583883846,0.000397005867895376,0.959582671985178,0.0364301617311894,"S","CM2"
"118",177,0.000931179001652335,0.000408476809396863,0.957799094324256,0.0384497369120248,"S","CM2"
"119",202,0.000940950626025937,0.00041706685164453,0.9566674067753,0.0397679088188314,"S","CM2"
"120",227,0.000953836719073141,0.000427205678567337,0.955225738567241,0.0417042970311995,"S","CM2"
"121",2,0.00697836550303853,0.00455922126605296,0.804618951169391,0.174499044162383,"NW","CM3"
"122",27,0.00646719756705921,0.00385640481333272,0.792903723200224,0.203696911582934,"NW","CM3"
"123",52,0.00652341343870031,0.00398469565832833,0.778701013782076,0.219965310517181,"NW","CM3"
"124",77,0.006564227292666,0.00414198542560555,0.768465880473968,0.228362938201515,"NW","CM3"
"125",102,0.00670455188015056,0.00438240710021923,0.762302347610297,0.230247191335068,"NW","CM3"
"126",127,0.00671397652067442,0.00449637305114288,0.760230099584871,0.238929161838117,"NW","CM3"
"127",152,0.00681301471995881,0.00465510775536607,0.755524917090527,0.237390994803498,"NW","CM3"
"128",177,0.00690865882670175,0.00485392098704239,0.751051286867467,0.248728214625889,"NW","CM3"
"129",202,0.00701486985696394,0.00500920424462767,0.74724096514843,0.252508620120079,"NW","CM3"
"130",227,0.00707624565745359,0.00517579983886912,0.748031527448181,0.251811939263785,"NW","CM3"
"131",2,0.00544450655221625,0.002130313195379,0.703999721310406,0.241135880473702,"NE","CM3"
"132",27,0.00527409347690442,0.00215376741264587,0.67874489345312,0.250386208689394,"NE","CM3"
"133",52,0.00538735103516004,0.00220796059972712,0.656644778804078,0.255958551371974,"NE","CM3"
"134",77,0.00549093989184134,0.0022059629934509,0.639149042589939,0.254338697213435,"NE","CM3"
"135",102,0.00562850049293377,0.00221560666911545,0.618846961301325,0.264375203572411,"NE","CM3"
"136",127,0.00571013236942184,0.00224812026097246,0.606145479617957,0.269390060181736,"NE","CM3"
"137",152,0.00579568762173583,0.00229658192309021,0.595950342537179,0.270253518299629,"NE","CM3"
"138",177,0.00588380198054939,0.00233399050414404,0.583975269862299,0.272875107163159,"NE","CM3"
"139",202,0.00596128039764087,0.00237039816737663,0.573804640894985,0.277665495433677,"NE","CM3"
"140",227,0.00606239671720531,0.00239974375443529,0.563311900282882,0.279715808359632,"NE","CM3"
"141",2,0.00714862844950102,0.00422336140330395,0.808101734649455,0.227535512773155,"MA","CM3"
"142",27,0.00695540033050285,0.00414592041648573,0.7721212974489,0.239466162561,"MA","CM3"
