"","mtry","AUC","AUCSD","Precision","PrecisionSD","Recall","RecallSD","F","FSD","NUTS1","CM"
"54",77,0.727505315074365,0.0927680853450484,0.974285714285714,0.0685085015226456,0.892666666666667,0.138060751030322,0.924119325119325,0.0917724731652744,"S","CM1"
"55",102,0.695762993305521,0.117503115097252,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM1"
"56",127,0.667695970200412,0.136392491513568,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM1"
"57",152,0.66527798756236,0.149813065713044,0.962952380952381,0.0709461519170732,0.889333333333333,0.141491888984938,0.916785991785992,0.0928164982866665,"S","CM1"
"58",177,0.618969164769126,0.158388297224653,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM1"
"59",202,0.592355040020192,0.189907127904028,0.960285714285714,0.0717073277843753,0.897333333333333,0.129859508945214,0.920721056721057,0.0794697590241639,"S","CM1"
"60",227,0.603961865706919,0.190903630155503,0.957428571428571,0.0729282794544744,0.904666666666667,0.130237877600584,0.923222999222999,0.080087433759807,"S","CM1"
"61",2,0.922844725326028,0.0194063006356249,0.982208791208791,0.0304304025648382,0.962380952380952,0.0530895615943471,0.971403130960417,0.0343465496713183,"NW","CM4"
"62",27,0.919708078400051,0.024126972527902,0.985119047619048,0.0283458049659873,0.968,0.0527992836830544,0.975588949871041,0.0325623501289796,"NW","CM4"
"63",52,0.925030301850835,0.0145673106146532,0.989309523809524,0.0247765711219428,0.970666666666667,0.0509101757028663,0.979035401248527,0.0300181472000377,"NW","CM4"
"64",77,0.921060073467084,0.0212134655505814,0.988059523809524,0.0257823942570469,0.973428571428571,0.0505427985261438,0.979774658859865,0.0293081184493782,"NW","CM4"
"65",102,0.917862333446035,0.0248696792199942,0.988059523809524,0.0257823942570469,0.973428571428571,0.0505427985261438,0.979774658859865,0.0293081184493782,"NW","CM4"
"66",127,0.922322340782303,0.0187820260149281,0.992154761904762,0.0214914751332095,0.974857142857143,0.0502577004749699,0.982582540633264,0.0285335424228853,"NW","CM4"
"67",152,0.917656569183302,0.0259352902101185,0.994654761904762,0.0183328639837439,0.974857142857143,0.0459275878875475,0.983993660934707,0.0259748605173183,"NW","CM4"
"68",177,0.903741285850405,0.0468124577289021,0.994571428571429,0.0186054110857977,0.974857142857143,0.0459275878875475,0.98399514406411,0.0268317320818377,"NW","CM4"
"69",202,0.915074619183738,0.0281341122915139,0.990271062271062,0.024397393515462,0.976285714285714,0.0455679752904076,0.982674638260845,0.0296416177600979,"NW","CM4"
"70",227,0.898524954514992,0.0505537901826798,0.990449633699634,0.0239654315390788,0.976285714285714,0.0455679752904076,0.982717307658353,0.0287269939652382,"NW","CM4"
"71",2,0.927975668550657,0.00898906079279991,0.976295572074984,0.0405068480043877,0.955142857142857,0.0619315931985067,0.964326548672767,0.0411081069707167,"NE","CM4"
"72",27,0.911705362112743,0.0351392578935905,0.977808230984702,0.0358550761980244,0.957904761904762,0.0593543554926042,0.966450937549658,0.0361341575769326,"NE","CM4"
"73",52,0.904540237309499,0.0419238629110376,0.97784943977591,0.0357573042576289,0.966190476190476,0.0529236835913875,0.970956708217832,0.0341538158698259,"NE","CM4"
"74",77,0.888088545170655,0.0555193498589985,0.977981846584788,0.035374503826347,0.962095238095238,0.0579467266482905,0.968672296084421,0.0347951275061385,"NE","CM4"
"75",102,0.886966090136009,0.0526814727096092,0.974148513251454,0.0383886809972642,0.962095238095238,0.056359712859099,0.966750019127661,0.034251978779671,"NE","CM4"
"76",127,0.890241201847361,0.0519821243827418,0.975251454427925,0.0364402539014785,0.958095238095238,0.0574819868687826,0.965236631236353,0.0337353474349418,"NE","CM4"
"77",152,0.895187631647351,0.0459462320689742,0.973918121094592,0.0388442632528255,0.955428571428571,0.0570111861675806,0.963258136612697,0.0351151160314742,"NE","CM4"
"78",177,0.899511002574669,0.0429031694533816,0.976092490842491,0.0346740488790248,0.955333333333333,0.0554402153152435,0.964465125860009,0.0341054463920452,"NE","CM4"
"79",202,0.887555586791408,0.0561745168886258,0.975072882999354,0.038764456481919,0.952666666666667,0.0564454526913317,0.962474726474448,0.0354484028630399,"NE","CM4"
"80",227,0.890905340017249,0.0483004444410458,0.974842490842491,0.037133070131704,0.952666666666667,0.0564454526913317,0.962435887023206,0.0355185404335234,"NE","CM4"
"81",2,0.919543032102703,0.0235587534831859,0.99072619047619,0.0232605224673923,0.946666666666667,0.0597788510852115,0.966979250947215,0.0327929329999854,"MA","CM4"
"82",27,0.907673876326331,0.0398661764954357,0.996166666666667,0.0153345163696234,0.956571428571429,0.0548000458716489,0.975012609225735,0.0290527066227029,"MA","CM4"
"83",52,0.895566578398799,0.0422871193636813,0.991166666666667,0.0254722960975395,0.959238095238095,0.0533149350467771,0.973825243713564,0.0283186435201616,"MA","CM4"
"84",77,0.895318620629761,0.0462851943179288,0.987071428571429,0.0290418333705006,0.962,0.0454255743837018,0.973415537455582,0.0242240679368201,"MA","CM4"
"85",102,0.906775425701485,0.0409774511337028,0.98297619047619,0.0316826738589341,0.963428571428571,0.0454759742336073,0.972089137163664,0.0246923994766727,"MA","CM4"
"86",127,0.878989323494592,0.0536096299761727,0.981654761904762,0.0297477347219656,0.964761904761905,0.043516151269985,0.972181067644916,0.0224601882880539,"MA","CM4"
"87",152,0.888607446192473,0.0473824595960259,0.978880952380952,0.0336144177470877,0.962095238095238,0.0433131981541674,0.96942757905383,0.0242154725162389,"MA","CM4"
"88",177,0.877746413531617,0.0669623889081085,0.977809523809524,0.0360185131155676,0.959142857142857,0.0477170032337751,0.967181526256054,0.0262126652688518,"MA","CM4"
"89",202,0.879368158759386,0.0628462085737051,0.977809523809524,0.0360185131155676,0.957809523809524,0.0474828957369914,0.96649187108364,0.0257816671207661,"MA","CM4"
"90",227,0.878684545932215,0.058617600377902,0.977521062271062,0.0364036246333944,0.959142857142857,0.0477170032337751,0.967142926862615,0.0281864317892113,"MA","CM4"
"91",2,0.913830468259093,0.0255650087881346,0.993,0.0252178715018516,0.957582417582418,0.0590425510598314,0.973837553628558,0.0341972253702029,"CE","CM4"
