"","mtry","AUC","AUCSD","NUTS1","CM"
"87",152,0.992608843537415,0.0163093860998399,"MA","CM4"
"88",177,0.993546712018141,0.0131917640637675,"MA","CM4"
"89",202,0.994097732426304,0.0122330775478855,"MA","CM4"
"90",227,0.994913492063492,0.0102849768653847,"MA","CM4"
"91",2,0.996406593406593,0.00882751002301252,"CE","CM4"
"92",27,0.996725274725275,0.00626337668538646,"CE","CM4"
"93",52,0.995924908424908,0.00788519284938013,"CE","CM4"
"94",77,0.995467032967033,0.0085503724242118,"CE","CM4"
"95",102,0.995468864468865,0.00887892467545361,"CE","CM4"
"96",127,0.99542673992674,0.00885079948083887,"CE","CM4"
"97",152,0.99578021978022,0.00823986505712083,"CE","CM4"
"98",177,0.99603663003663,0.0079888183747147,"CE","CM4"
"99",202,0.996007326007326,0.00813442944024368,"CE","CM4"
"100",227,0.995661172161172,0.00885417265716614,"CE","CM4"
"101",2,0.99756862745098,0.00548275949788654,"E","CM4"
"102",27,0.998274509803922,0.00381281782121535,"E","CM4"
"103",52,0.998269607843137,0.00373269992226536,"E","CM4"
"104",77,0.99806862745098,0.00393674534246741,"E","CM4"
"105",102,0.998338235294118,0.00357255776623519,"E","CM4"
"106",127,0.998448529411765,0.00374744827488244,"E","CM4"
"107",152,0.998490196078431,0.0036573666653108,"E","CM4"
"108",177,0.998573529411765,0.00380081506321007,"E","CM4"
"109",202,0.99818137254902,0.00399653547226313,"E","CM4"
"110",227,0.998102941176471,0.00399859637374972,"E","CM4"
"111",2,0.995098440545809,0.0109287750041488,"S","CM4"
"112",27,0.994454800194932,0.0110858384588059,"S","CM4"
"113",52,0.993971856725146,0.0131292892169041,"S","CM4"
"114",77,0.993507553606238,0.0140034931675371,"S","CM4"
"115",102,0.993275097465887,0.0143252676603874,"S","CM4"
"116",127,0.993378167641326,0.0148334560576914,"S","CM4"
"117",152,0.992846978557505,0.015797817648381,"S","CM4"
"118",177,0.993244395711501,0.0149527267923244,"S","CM4"
"119",202,0.993168494152047,0.0149204768437455,"S","CM4"
"120",227,0.993441520467836,0.0138281282308648,"S","CM4"
"121",2,0.961363636363636,0.112556714089149,"NW","CM2"
"122",27,0.947424242424242,0.16673980797983,"NW","CM2"
"123",52,0.945,0.171124465168009,"NW","CM2"
"124",77,0.948636363636364,0.159037818393586,"NW","CM2"
"125",102,0.950606060606061,0.15258005489186,"NW","CM2"
"126",127,0.947575757575758,0.159424364146953,"NW","CM2"
"127",152,0.948939393939394,0.156614931965635,"NW","CM2"
"128",177,0.95030303030303,0.150056054192879,"NW","CM2"
"129",202,0.948939393939394,0.154248763315105,"NW","CM2"
"130",227,0.949242424242424,0.153376400389363,"NW","CM2"
"131",2,0.981736559139785,0.050287606449417,"NE","CM2"
"132",27,0.978535842293907,0.0571266336152939,"NE","CM2"
"133",52,0.971387096774194,0.0683248723557186,"NE","CM2"
"134",77,0.970279569892473,0.0707482750033855,"NE","CM2"
"135",102,0.97105376344086,0.0590412389397895,"NE","CM2"
"136",127,0.964284946236559,0.0753187436301026,"NE","CM2"
"137",152,0.961756272401434,0.0716416373413876,"NE","CM2"
"138",177,0.960121863799283,0.068052598373245,"NE","CM2"
"139",202,0.957508960573477,0.0727735479853517,"NE","CM2"
